ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID,Suspicion_Score,summary
,4672,2026-04-18 18:09:19.468824+00:00,SYSTEM,,,,3011,1,"SYSTEM privilege assignment, normal boot activity"
,4688,2026-04-18 18:09:19.471022+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\Upfc.exe /launchtype boot /cv C4zdE0pQ+0OUTSBJ26rq0A.0,3012,8,Upfc.exe with launchtype boot parameter suspicious
,4688,2026-04-18 18:09:19.473032+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -s WPDBusEnum,3013,1,Standard WPDBusEnum service host startup
,4688,2026-04-18 18:09:19.592144+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,taskhostw.exe ExploitGuardPolicy,3014,2,taskhostw.exe ExploitGuardPolicy normal system task
C:\Windows\System32\upfc.exe,4689,2026-04-18 18:09:19.600771+00:00,DESKTOP-7CV8A7M$,,,,3015,8,Upfc.exe process termination after suspicious launch
,4688,2026-04-18 18:09:19.658993+00:00,DESKTOP-7CV8A7M$,LOCAL SERVICE,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,3016,1,EventLog service host normal startup activity
,4688,2026-04-18 18:09:19.689064+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\dxgiadaptercache.exe""",3017,1,dxgiadaptercache.exe standard graphics adapter cache
,4688,2026-04-18 18:09:19.775488+00:00,DESKTOP-7CV8A7M$,LOCAL SERVICE,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p -s EventSystem,3018,1,EventSystem service host normal startup activity
C:\Windows\System32\services.exe,4624,2026-04-18 18:09:19.781435+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,3019,1,SYSTEM logon from services.exe normal boot
,4627,2026-04-18 18:09:19.781445+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,3020,1,SYSTEM user logon event normal activity
,4672,2026-04-18 18:09:19.781452+00:00,SYSTEM,,,,3021,1,SYSTEM privilege assignment normal boot activity
,4688,2026-04-18 18:09:19.785324+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain,3022,1,SysMain service host normal startup activity
C:\Windows\System32\services.exe,4624,2026-04-18 18:09:19.797398+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,3023,1,SYSTEM logon from services.exe normal boot
