ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID,Suspicion_Score,summary
C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,4689,2026-04-18 18:09:57.545368+00:00,DESKTOP-7CV8A7M$,,,,3290,0,
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:57.553932+00:00,DESKTOP-7CV8A7M$,,,,3291,0,
,4688,2026-04-18 18:09:57.555365+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,net user,3292,6,User command execution
,4688,2026-04-18 18:09:57.565779+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\net.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3293,6,User command execution
,4688,2026-04-18 18:09:57.605423+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\net.exe,C:\WINDOWS\system32\net1 user,3294,6,User command execution
C:\Windows\SysWOW64\net1.exe,4689,2026-04-18 18:09:57.632095+00:00,DESKTOP-7CV8A7M$,,,,3295,0,
C:\Windows\SysWOW64\net.exe,4689,2026-04-18 18:09:57.633411+00:00,DESKTOP-7CV8A7M$,,,,3296,0,
,4688,2026-04-18 18:09:57.635189+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,net user,3297,6,User command execution
,4688,2026-04-18 18:09:57.641047+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\net.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3298,6,User command execution
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:57.652660+00:00,DESKTOP-7CV8A7M$,,,,3299,0,
,4688,2026-04-18 18:09:57.673714+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\net.exe,C:\WINDOWS\system32\net1 user,3300,6,User command execution
C:\Windows\SysWOW64\net1.exe,4689,2026-04-18 18:09:57.690126+00:00,DESKTOP-7CV8A7M$,,,,3301,0,
C:\Windows\SysWOW64\net.exe,4689,2026-04-18 18:09:57.691143+00:00,DESKTOP-7CV8A7M$,,,,3302,0,
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:57.696142+00:00,DESKTOP-7CV8A7M$,,,,3303,0,
,4688,2026-04-18 18:09:57.700136+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\system /v legalnoticetext,3304,8,Registry query executed
,4688,2026-04-18 18:09:57.710045+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\reg.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3305,6,User command execution
C:\Windows\SysWOW64\reg.exe,4689,2026-04-18 18:09:57.738688+00:00,DESKTOP-7CV8A7M$,,,,3306,0,
,4688,2026-04-18 18:09:57.740906+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\system /v legalnoticecaption,3307,8,Registry query executed
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:57.746086+00:00,DESKTOP-7CV8A7M$,,,,3308,0,
,4688,2026-04-18 18:09:57.750898+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\reg.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3309,6,User command execution
C:\Windows\SysWOW64\reg.exe,4689,2026-04-18 18:09:57.774260+00:00,DESKTOP-7CV8A7M$,,,,3310,0,
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:57.790703+00:00,DESKTOP-7CV8A7M$,,,,3311,0,
,4688,2026-04-18 18:09:57.793957+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,"auditpol.exe /get /subcategory:""Credential Validation""",3312,8,Audit policy query
,4688,2026-04-18 18:09:57.801226+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\auditpol.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3313,6,User command execution
