rule\.level,rule\.description,rule\.id
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
9,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure message of the day is configured properly.: Status changed from passed to failed,19011
8,A new external device was recognized by the system,60227
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,Non service account logged off.,67023
3,Non service account logged off.,67023
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
3,A process was created.,67027
