ImpersonationLevel,ElevatedToken,SidHistory,CryptoAlgorithms,TestSigning,ClientProcessId,PrimaryGroupId,Workstation,TargetUserName,OldUacValue,ProcessId,LogonGuid,FlightSigning,UserPrincipalName,LoadOptions,KeyType,Timestamp,TargetDomainName,DataDescription,IpPort,PrivilegeList,PuaPolicyId,DeviceDescription,UserParameters,VsmLaunchType,RemoteEventLogging,TargetOutboundUserName,TargetName,PackageSid,ClassId,RemoteCredentialGuard,ScriptPath,TargetSid,HypervisorDebug,LocationInformation,ReturnCode,KeyLength,Identity,TargetInfo,CallerProcessId,RecordNumber,TransmittedServices,PuaCount,ReadOperation,ProviderName,HypervisorLaunchType,HomePath,AccountExpires,SubjectUserName,SamAccountName,EventID,TargetProcessName,DisabledPrivilegeList,EnabledPrivilegeList,MasterKeyId,UserAccountControl,PackageName,Dummy,ParentProcessName,PasswordLastSet,DeviceId,ProfilePath,HomeDirectory,TokenElevationType,VendorIds,ProcessCreationTime,ClientCreationTime,DisableIntegrityChecks,CallerProcessName,TargetUserSid,VirtualAccount,IpAddress,MemberName,Status,CompatibleIds,LogonHours,Schema,TargetLogonGuid,MandatoryLabel,Type,LogonProcessName,Resource,SubjectLogonId,TargetProcessId,AdvancedOptions,RestrictedAdminMode,HypervisorLoadOptions,FailureReason,TargetLogonId,TargetServerName,UserWorkstations,AuthenticationPackageName,AllowedToDelegateTo,Flags,TargetOutboundDomainName,LmPackageName,KernelDebug,KeyFilePath,SubjectUserSid,ConfigAccessPolicy,AlgorithmName,MemberSid,WorkstationName,NewProcessId,CommandLine,NewProcessName,DisplayName,CountOfCredentialsReturned,KeyName,SubStatus,SubjectDomainName,SchemaFriendlyName,ProcessName,LogonType,ProtectedDataFlags,TargetLinkedLogonId,ClassName,NewUacValue,Operation
,,,,,,,,,,,,,,,,2026-04-20 18:00:19.082523+00:00,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,pizza,,0x00000000000004a4,,,,,,2026-04-20 18:00:18.158943+00:00,DESKTOP-A3EGFSV,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,DESKTOP-A3EGFSV$,,4688,,,,,,,,C:\Windows\System32\svchost.exe,,,,,%%1937,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,S-1-16-12288,,,,0x00000000000003e7,,,,,,0x00000000000733cf,,,,,,,,,,S-1-5-18,,,,,0x00000000000024e4,taskhostw.exe $(Arg0),C:\Windows\System32\taskhostw.exe,,,,,WORKGROUP,,,,,,,,
,,,,,,,,,,0x0000000000000cb0,,,,,,2026-04-20 18:00:18.704304+00:00,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,DESKTOP-A3EGFSV$,,4689,,,,,,,,,,,,,,,,,,,,,,,0x00000000,,,,,,,,,0x00000000000003e7,,,,,,,,,,,,,,,,S-1-5-18,,,,,,,,,,,,WORKGROUP,,C:\Windows\System32\ctfmon.exe,,,,,,
,,,,,,,,-,,0x0000000000002460,,,,,,2026-04-20 18:00:19.056101+00:00,-,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,pizza,,4688,,,,,,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,,,%%1937,,,,,,S-1-0-0,,,,,,,,,S-1-16-12288,,,,0x00000000000733cf,,,,,,0x0000000000000000,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,0x0000000000001430,"""C:\WINDOWS\system32\wevtutil.exe"" cl Security",C:\Windows\System32\wevtutil.exe,,,,,DESKTOP-A3EGFSV,,,,,,,,
,,,,,,,,pizza,,0x0000000000001430,,,,,,2026-04-20 18:00:19.073996+00:00,DESKTOP-A3EGFSV,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,pizza,,4703,,-,SeSecurityPrivilege,,,,,,,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,,0x00000000000733cf,,,,,,0x00000000000733cf,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,DESKTOP-A3EGFSV,,C:\Windows\System32\wevtutil.exe,,,,,,
,,,,,,,,pizza,,0x0000000000001430,,,,,,2026-04-20 18:00:19.074104+00:00,DESKTOP-A3EGFSV,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,pizza,,4703,,-,SeBackupPrivilege,,,,,,,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,,0x00000000000733cf,,,,,,0x00000000000733cf,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,DESKTOP-A3EGFSV,,C:\Windows\System32\wevtutil.exe,,,,,,
,,,,,,,,pizza,,0x0000000000001430,,,,,,2026-04-20 18:00:19.082624+00:00,DESKTOP-A3EGFSV,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,pizza,,4703,,SeBackupPrivilege,-,,,,,,,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,,0x00000000000733cf,,,,,,0x00000000000733cf,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,DESKTOP-A3EGFSV,,C:\Windows\System32\wevtutil.exe,,,,,,
,,,,,,,,pizza,,0x0000000000001430,,,,,,2026-04-20 18:00:19.082628+00:00,DESKTOP-A3EGFSV,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,pizza,,4703,,SeSecurityPrivilege,-,,,,,,,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,,0x00000000000733cf,,,,,,0x00000000000733cf,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,DESKTOP-A3EGFSV,,C:\Windows\System32\wevtutil.exe,,,,,,
,,,,,,,,,,0x0000000000001430,,,,,,2026-04-20 18:00:19.083939+00:00,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,pizza,,4689,,,,,,,,,,,,,,,,,,,,,,,0x00000000,,,,,,,,,0x00000000000733cf,,,,,,,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,DESKTOP-A3EGFSV,,C:\Windows\System32\wevtutil.exe,,,,,,
,,,,,,,,,,0x000000000000222c,,,,,,2026-04-20 18:00:19.781973+00:00,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,pizza,,4689,,,,,,,,,,,,,,,,,,,,,,,0x00000000,,,,,,,,,0x00000000000733fe,,,,,,,,,,,,,,,,S-1-5-21-659606535-1042573559-2797446579-1001,,,,,,,,,,,,DESKTOP-A3EGFSV,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,,,,,
