RowID,Suspicion_Score,summary,ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine
1,1,Process creation event with missing critical data,,4688,2026-04-18 16:59:57.561752+00:00,-,-,,
2,1,Credential manager event with missing process details,,4696,2026-04-18 16:59:57.561880+00:00,-,-,,
3,1,Clipboard event with missing process information,,4826,2026-04-18 16:59:57.561886+00:00,-,,,
4,1,Process creation event with missing critical data,,4688,2026-04-18 16:59:57.573570+00:00,-,-,,
17,3,Anonymous logon to SYSTEM account detected,,4627,2026-04-18 16:59:59.538786+00:00,ANONYMOUS LOGON,SYSTEM,,
83,7,Upfc.exe with suspicious launchtype boot parameter,,4688,2026-04-18 17:00:01.833189+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\Upfc.exe /launchtype boot /cv v/EzVqK6F0+8PY+pA6p9lg.0
106,3,Process creation missing parent and command details,,4688,2026-04-18 17:00:02.628826+00:00,DESKTOP-7CV8A7M$,-,,
136,3,Unusual QuitInfo parameter from svchost process,,4688,2026-04-18 17:00:06.143677+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,/QuitInfo:00000000000002A4;00000000000002A8; 
141,2,taskhostw.exe spawned from svchost unusual,,4688,2026-04-18 17:00:06.452986+00:00,DESKTOP-7CV8A7M$,LOCAL SERVICE,C:\Windows\System32\svchost.exe,taskhostw.exe TimeSyncTask
142,2,ClipRenew.exe spawned from svchost unusual,,4688,2026-04-18 17:00:06.663021+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\ClipRenew.exe"" -e"
194,13,svchost using suspicious email credential pizzahuthacker@gmail.com,C:\Windows\System32\svchost.exe,4648,2026-04-18 17:00:11.216093+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
195,13,Login with suspicious email pizzahuthacker@gmail.com,C:\Windows\System32\svchost.exe,4624,2026-04-18 17:00:11.216116+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
203,13,lsass using suspicious email credential pizzahuthacker@gmail.com,C:\Windows\System32\lsass.exe,4648,2026-04-18 17:00:11.327969+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
204,13,Login with suspicious email pizzahuthacker@gmail.com,C:\Windows\System32\lsass.exe,4624,2026-04-18 17:00:11.327995+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
218,7,webthreatdefusersvc running as pizza user,,4688,2026-04-18 17:00:11.922628+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc
250,4,SLUI.exe with complex activation parameters,,4688,2026-04-18 17:00:16.243160+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\SppExtComObj.Exe,"""C:\WINDOWS\System32\SLUI.exe"" RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=2b1f36bb-c1cd-4306-bf5c-a0367c2d97d8;NotificationInterval=1440;Trigger=UserLogon;SessionId=1"
251,3,slui.exe spawned from svchost with embedding,,4688,2026-04-18 17:00:16.444477+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\WINDOWS\System32\slui.exe -Embedding
253,3,MicrosoftEdgeUpdate.exe with installation parameters,,4688,2026-04-18 17:00:16.806320+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /ua /installsource core"
260,3,MicrosoftEdgeUpdate.exe spawned as service,,4688,2026-04-18 17:00:17.923391+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
284,3,rundll32.exe with AppXDeploymentExtensions parameter,,4688,2026-04-18 17:00:21.554434+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"C:\WINDOWS\system32\rundll32.exe C:\WINDOWS\system32\AppXDeploymentExtensions.OneCore.dll,ShellRefresh"
295,3,EdgeWebView2 launched from SearchHost process,,4688,2026-04-18 17:00:27.069168+00:00,pizza,-,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\147.0.3912.72\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2126.5604.40.0 --user-data-dir=""C:\Users\pizza\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.8246) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 147.0.3912.72)"" --lang=en-US --mojo-named-platform-channel-pipe=5312.5796.3239218158531458364 /pfhostedapp:71605ac00f46126b891160bd09c966621e306630"
298,2,SLUI Windows activation process execution,,4688,2026-04-18 17:00:27.929251+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\SppExtComObj.Exe,"""C:\WINDOWS\System32\SLUI.exe"" RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=2b1f36bb-c1cd-4306-bf5c-a0367c2d97d8;NotificationInterval=1440;Trigger=NetworkAvailable"
337,2,Suspicious QuitInfo command line parameter,,4688,2026-04-18 17:00:37.456366+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,/QuitInfo:0000000000000320;0000000000000324; 
343,2,Group membership change Administrators,,4799,2026-04-18 17:00:38.450624+00:00,DESKTOP-7CV8A7M$,Administrators,,
373,3,SearchHost spawned by svchost with user context,,4688,2026-04-18 17:00:45.327946+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
400,3,BdeUISrv spawned by svchost,,4688,2026-04-18 17:00:53.157955+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\WINDOWS\System32\BdeUISrv.exe -Embedding
403,3,BackgroundTransferHost spawned by svchost,,4688,2026-04-18 17:00:53.851278+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""BackgroundTransferHost.exe"" -ServerName:BackgroundTransferHost.1"
406,4,User added to Administrators group,,4799,2026-04-18 17:00:56.273457+00:00,pizza,Administrators,,
408,3,BackgroundTaskHost spawned by svchost,,4688,2026-04-18 17:00:57.060591+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider"
431,3,User account enumeration Administrator account,,4798,2026-04-18 17:01:05.094755+00:00,DESKTOP-7CV8A7M$,Administrator,,
432,3,User account enumeration DefaultAccount,,4798,2026-04-18 17:01:05.095833+00:00,DESKTOP-7CV8A7M$,DefaultAccount,,
433,3,User account enumeration Guest account,,4798,2026-04-18 17:01:05.096422+00:00,DESKTOP-7CV8A7M$,Guest,,
434,3,User account enumeration pizza user,,4798,2026-04-18 17:01:05.097319+00:00,DESKTOP-7CV8A7M$,pizza,,
435,3,User account enumeration Administrator account,,4798,2026-04-18 17:01:05.229830+00:00,DESKTOP-7CV8A7M$,Administrator,,
511,4,DllHost spawned from svchost with pizza user,,4688,2026-04-18 17:01:34.435963+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}
520,4,RuntimeBroker spawned from svchost with pizza user,,4688,2026-04-18 17:01:38.646847+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding
521,4,SearchHost spawned from svchost with pizza user,,4688,2026-04-18 17:01:40.010054+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
546,4,SearchHost spawned from svchost with pizza user,,4688,2026-04-18 17:01:57.343918+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
565,4,BackgroundTaskHost spawned from svchost with pizza user,,4688,2026-04-18 17:02:09.019566+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider"
