RowID,Suspicion_Score,summary,ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine
0,0,,,1101,2026-04-18 17:00:02.450777+00:00,,,,
1,0,,,4688,2026-04-18 16:59:57.561752+00:00,-,-,,
2,0,,,4696,2026-04-18 16:59:57.561880+00:00,-,-,,
3,0,,,4826,2026-04-18 16:59:57.561886+00:00,-,,,
4,0,,,4688,2026-04-18 16:59:57.573570+00:00,-,-,,
17,3,Anonymous logon detected,,4627,2026-04-18 16:59:59.538786+00:00,ANONYMOUS LOGON,SYSTEM,,
83,12,Unusual executable path,,4688,2026-04-18 17:00:01.833189+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\System32\Upfc.exe /launchtype boot /cv v/EzVqK6F0+8PY+pA6p9lg.0
88,3,Unusual command line,,4688,2026-04-18 17:00:02.112688+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,taskhostw.exe ExploitGuardPolicy
112,6,Targeting Administrators group,,4799,2026-04-18 17:00:02.858181+00:00,DESKTOP-7CV8A7M$,Administrators,,
122,6,Targeting specific user account,,4798,2026-04-18 17:00:03.946405+00:00,DESKTOP-7CV8A7M$,pizza,,
136,3,Unusual command line,,4688,2026-04-18 17:00:06.143677+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,/QuitInfo:00000000000002A4;00000000000002A8; 
194,15,Suspicious email in username,C:\Windows\System32\svchost.exe,4648,2026-04-18 17:00:11.216093+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
195,15,Suspicious email in username,C:\Windows\System32\svchost.exe,4624,2026-04-18 17:00:11.216116+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
196,15,Suspicious email in username,,4627,2026-04-18 17:00:11.216133+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
197,15,Suspicious email in username,C:\Windows\System32\svchost.exe,4624,2026-04-18 17:00:11.216150+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
198,15,Suspicious email in username,,4627,2026-04-18 17:00:11.216158+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,
218,6,webthreatdefusersvc suspicious,,4688,2026-04-18 17:00:11.922628+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc
229,6,userinit.exe unusual execution,,4688,2026-04-18 17:00:13.788744+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\winlogon.exe,C:\WINDOWS\system32\userinit.exe
252,6,CrossDeviceResume.exe unusual,,4688,2026-04-18 17:00:16.738007+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\sihost.exe,"""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp"
284,6,rundll32.exe unusual execution,,4688,2026-04-18 17:00:21.554434+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"C:\WINDOWS\system32\rundll32.exe C:\WINDOWS\system32\AppXDeploymentExtensions.OneCore.dll,ShellRefresh"
285,6,ClipboardSvcGroup unusual,,4688,2026-04-18 17:00:22.064787+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
597,15,User added to Administrators,,4799,2026-04-18 17:02:20.115984+00:00,pizza,Administrators,,
631,3,Unusual process execution,,4688,2026-04-18 17:02:50.414728+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXe9cvj1thv1hmcw0cs98xm3r97tyzy2xs.mca"
632,3,Unusual process execution,,4688,2026-04-18 17:02:51.404921+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"C:\WINDOWS\System32\rundll32.exe shell32.dll,SHCreateLocalServerRunDll {c82192ee-6cb5-4bc0-9ef0-fb818773790a} -Embedding"
634,3,Unusual process execution,,4688,2026-04-18 17:02:51.792767+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\DllHost.exe"" /Processid:{5250E46F-BB09-D602-5891-F476DC89B700}"
