ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID,Suspicion_Score,summary
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:19.731321+00:00,DESKTOP-7CV8A7M$,,,,2450,1,Normal conhost process termination event
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:19.858852+00:00,DESKTOP-7CV8A7M$,,,,2451,2,Normal wevtutil process termination
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:19.873249+00:00,DESKTOP-7CV8A7M$,,,,2452,1,Normal conhost process termination event
,4688,2026-04-18 17:52:19.876385+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe uninstall-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Windows-Windows Defender.man""",2453,6,Windows Defender uninstalling manifest via wevtutil
,4688,2026-04-18 17:52:19.879122+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2454,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:20.120598+00:00,DESKTOP-7CV8A7M$,,,,2455,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:20.123589+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe install-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Windows-Windows Defender.man"" ""/resourceFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpEvMsg.dll"" ""/messageFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpEvMsg.dll"" ""/parameterFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpEvMsg.dll""",2456,6,Windows Defender installing manifest via wevtutil
,4688,2026-04-18 17:52:20.127880+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2457,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:20.128473+00:00,DESKTOP-7CV8A7M$,,,,2458,1,Normal conhost process termination event
C:\Windows\System32\SearchProtocolHost.exe,4689,2026-04-18 17:52:20.835573+00:00,DESKTOP-7CV8A7M$,,,,2459,1,Normal SearchProtocolHost termination
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:21.962330+00:00,DESKTOP-7CV8A7M$,,,,2460,2,Normal wevtutil process termination
C:\Windows\System32\svchost.exe,4689,2026-04-18 17:52:21.994448+00:00,DESKTOP-7CV8A7M$,,,,2461,1,Normal svchost process termination
,4688,2026-04-18 17:52:22.002554+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe uninstall-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-Service.man""",2462,6,Windows Defender uninstalling manifest via wevtutil
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:22.172533+00:00,DESKTOP-7CV8A7M$,,,,2463,1,Normal conhost process termination event
,4688,2026-04-18 17:52:22.173235+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2464,7,wevtutil spawning conhost with ForceV1 flag
,4688,2026-04-18 17:52:22.313900+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\Users\pizza\AppData\Local\Microsoft\OneDrive\26.055.0323.0004\OneDriveLauncher.exe"" /startInstances",2465,2,OneDrive launcher started by svchost
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:22.322817+00:00,DESKTOP-7CV8A7M$,,,,2466,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:22.337955+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe install-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-Service.man"" ""/resourceFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpSvc.dll"" ""/messageFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpSvc.dll"" ""/parameterFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpSvc.dll""",2467,6,Windows Defender installing manifest via wevtutil
,4688,2026-04-18 17:52:23.468151+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,taskhostw.exe,2468,2,taskhostw spawned by svchost normally
,4688,2026-04-18 17:52:23.502754+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2469,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:23.654959+00:00,DESKTOP-7CV8A7M$,,,,2470,1,Normal conhost process termination event
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:24.121883+00:00,DESKTOP-7CV8A7M$,,,,2471,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:24.171270+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe uninstall-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-NIS.man""",2472,6,Windows Defender uninstalling manifest via wevtutil
,4688,2026-04-18 17:52:24.191835+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2473,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:24.203234+00:00,DESKTOP-7CV8A7M$,,,,2474,1,Normal conhost process termination event
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:24.285370+00:00,DESKTOP-7CV8A7M$,,,,2475,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:24.294271+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe install-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-NIS.man"" ""/resourceFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\NisSrv.exe"" ""/messageFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\NisSrv.exe"" ""/parameterFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\NisSrv.exe""",2476,6,Windows Defender installing manifest via wevtutil
,4688,2026-04-18 17:52:24.297361+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2477,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:24.297703+00:00,DESKTOP-7CV8A7M$,,,,2478,1,Normal conhost process termination event
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:24.376192+00:00,DESKTOP-7CV8A7M$,,,,2479,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:24.387878+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe uninstall-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-RTP.man""",2480,6,Windows Defender uninstalling manifest via wevtutil
,4688,2026-04-18 17:52:24.392099+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2481,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:24.392197+00:00,DESKTOP-7CV8A7M$,,,,2482,1,Normal conhost process termination event
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:24.607136+00:00,DESKTOP-7CV8A7M$,,,,2483,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:24.611517+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe install-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-RTP.man"" ""/resourceFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpRtp.dll"" ""/messageFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpRtp.dll"" ""/parameterFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpRtp.dll""",2484,6,Windows Defender installing manifest via wevtutil
,4688,2026-04-18 17:52:24.622152+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2485,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:24.622540+00:00,DESKTOP-7CV8A7M$,,,,2486,1,Normal conhost process termination event
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:24.762264+00:00,DESKTOP-7CV8A7M$,,,,2487,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:24.766855+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe uninstall-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-Protection.man""",2488,6,Windows Defender uninstalling manifest via wevtutil
,4688,2026-04-18 17:52:24.781857+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2489,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:24.782974+00:00,DESKTOP-7CV8A7M$,,,,2490,1,Normal conhost process termination event
,4688,2026-04-18 17:52:25.065353+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\Windows\ImmersiveControlPanel\SystemSettings.exe"" -ServerName:microsoft.windows.immersivecontrolpanel",2491,2,SystemSettings launched by svchost normally
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:25.252007+00:00,DESKTOP-7CV8A7M$,,,,2492,2,Normal wevtutil process termination
,4688,2026-04-18 17:52:25.263445+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wevtutil.exe install-manifest ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\Microsoft-Antimalware-Protection.man"" ""/resourceFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpClient.dll"" ""/messageFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpClient.dll"" ""/parameterFilePath:C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpClient.dll""",2493,6,Windows Defender installing manifest via wevtutil
,4688,2026-04-18 17:52:25.460611+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wevtutil.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2494,7,wevtutil spawning conhost with ForceV1 flag
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:25.546921+00:00,DESKTOP-7CV8A7M$,,,,2495,1,Normal conhost process termination event
C:\Windows\System32\wevtutil.exe,4689,2026-04-18 17:52:25.924547+00:00,DESKTOP-7CV8A7M$,,,,2496,2,Normal wevtutil process termination
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:27.134706+00:00,DESKTOP-7CV8A7M$,,,,2497,1,Normal conhost process termination event
,4688,2026-04-18 17:52:27.137516+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\wbem\mofcomp.exe ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\ProtectionManagement.mof""",2498,5,Windows Defender compiling MOF file via mofcomp
,4688,2026-04-18 17:52:27.143166+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\wbem\mofcomp.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2499,7,mofcomp spawning conhost with ForceV1 flag
,4688,2026-04-18 17:52:27.793262+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\uus\packages\preview\AMD64\MoUsoCoreWorker.exe"" useprivatenamespaces",2500,3,MoUsoCoreWorker launched by svchost
C:\Windows\System32\services.exe,4624,2026-04-18 17:52:28.439671+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,2501,1,Normal SYSTEM login event
,4627,2026-04-18 17:52:28.439680+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,2502,1,Normal group membership event
,4672,2026-04-18 17:52:28.439690+00:00,SYSTEM,,,,2503,1,Normal privilege use event
,4688,2026-04-18 17:52:28.445000+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k wusvcs -p -s WaaSMedicSvc,2504,2,svchost spawned by services normally
C:\Windows\System32\wbem\mofcomp.exe,4689,2026-04-18 17:52:29.058973+00:00,DESKTOP-7CV8A7M$,,,,2505,1,Normal mofcomp process termination
,4688,2026-04-18 17:52:29.176420+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"C:\WINDOWS\system32\taskkill.exe /f /FI ""MODULES eq protectionmanagement.dll"" /IM WmiPrvSE.exe",2506,8,Windows Defender killing WmiPrvSE process
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:29.218508+00:00,DESKTOP-7CV8A7M$,,,,2507,1,Normal conhost process termination event
,4688,2026-04-18 17:52:29.247299+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\taskkill.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,2508,7,taskkill spawning conhost with ForceV1 flag
,4688,2026-04-18 17:52:29.553438+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",2509,2,BackgroundTaskHost spawned by svchost
C:\Windows\System32\taskkill.exe,4689,2026-04-18 17:52:29.638531+00:00,DESKTOP-7CV8A7M$,,,,2510,1,Normal taskkill process termination
C:\Windows\System32\services.exe,4624,2026-04-18 17:52:29.666313+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,2511,1,Normal SYSTEM login event
,4627,2026-04-18 17:52:29.666323+00:00,DESKTOP-7CV8A7M$,SYSTEM,,,2512,1,Normal group membership event
,4672,2026-04-18 17:52:29.666332+00:00,SYSTEM,,,,2513,1,Normal privilege use event
,4688,2026-04-18 17:52:29.668261+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\System32\services.exe,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpDefenderCoreService.exe""",2514,3,Windows Defender core service started
C:\Windows\System32\conhost.exe,4689,2026-04-18 17:52:29.673542+00:00,DESKTOP-7CV8A7M$,,,,2515,1,Normal conhost process termination event
,4688,2026-04-18 17:52:29.905088+00:00,DESKTOP-7CV8A7M$,pizza,C:\Windows\System32\svchost.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,2516,2,RuntimeBroker spawned by svchost
,4688,2026-04-18 17:52:30.103086+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files\Windows Defender\MsMpEng.exe,"""C:\Program Files\Windows Defender\MpCmdRun.exe"" -RestartService",2517,5,Windows Defender restarting service via MpCmdRun
